post_time,median
2017-04-18,5.0
2017-04-19,3.0
2017-04-20,4.0
2017-04-21,3.0
2017-04-22,7.0
2017-04-23,5.0
2017-04-24,4.0
2017-04-25,5.0
2017-04-26,4.0
2017-04-27,4.5
2017-04-28,2.0
2017-04-29,4.0
2017-04-30,4.0
2017-05-01,7.0
2017-05-02,3.0
2017-05-03,4.0
2017-05-04,7.0
2017-05-05,5.0
2017-05-06,4.5
2017-05-07,4.0
2017-05-08,3.0
2017-05-09,5.0
2017-05-10,4.0
2017-05-11,4.0
2017-05-12,3.0
2017-05-13,2.0
2017-05-14,2.0
2017-05-15,3.5
2017-05-16,2.0
2017-05-17,4.0
2017-05-18,3.0
2017-05-19,8.0
2017-05-20,3.0
2017-05-21,5.0
2017-05-22,4.0
2017-05-23,5.5
2017-05-24,3.5
2017-05-25,3.0
2017-05-26,5.0
2017-05-27,3.0
2017-05-28,2.0
2017-05-29,3.0
2017-05-30,3.0
2017-05-31,4.0
2017-06-01,3.0
2017-06-02,1.0
2017-06-03,3.0
2017-06-04,3.0
2017-06-05,3.0
2017-06-06,2.0
2017-06-07,1.0
2017-06-08,3.5
2017-06-09,5.0
2017-06-10,2.0
2017-06-11,5.0
2017-06-12,6.5
2017-06-13,4.0
2017-06-14,3.5
2017-06-15,5.0
2017-06-16,5.0
2017-06-17,6.5
2017-06-18,9.0
2017-06-19,5.0
2017-06-20,2.5
2017-06-21,8.0
2017-06-22,5.0
2017-06-23,3.0
2017-06-24,11.0
2017-06-25,3.0
2017-06-26,4.0
2017-06-27,6.0
2017-06-28,3.5
2017-06-29,6.0
2017-06-30,4.0
2017-07-01,4.0
2017-07-02,3.0
2017-07-03,3.5
2017-07-04,3.0
2017-07-05,9.5
2017-07-06,2.0
2017-07-07,3.0
2017-07-08,5.0
2017-07-09,9.0
2017-07-10,4.0
2017-07-11,4.0
2017-07-12,4.0
2017-07-13,3.0
2017-07-14,3.0
2017-07-15,3.0
2017-07-16,2.0
2017-07-17,5.0
2017-07-18,4.5
2017-07-19,4.0
2017-07-20,6.0
2017-07-21,4.0
2017-07-22,5.0
2017-07-23,3.5
2017-07-24,5.0
2017-07-25,8.0
2017-07-26,5.0
2017-07-27,7.0
2017-07-28,7.0
2017-07-29,6.0
2017-07-30,2.5
2017-07-31,3.0
2017-08-01,3.0
2017-08-02,4.5
2017-08-03,3.0
2017-08-04,4.0
2017-08-05,4.0
2017-08-06,7.0
2017-08-07,3.0
2017-08-08,1.0
2017-08-09,5.0
2017-08-10,5.0
2017-08-11,7.0
2017-08-12,2.0
2017-08-13,2.0
2017-08-14,2.0
2017-08-15,6.0
2017-08-16,4.0
2017-08-17,3.0
2017-08-18,5.0
2017-08-19,4.0
2017-08-20,1.0
2017-08-21,2.0
2017-08-22,2.0
2017-08-23,2.0
2017-08-24,2.0
2017-08-25,2.0
2017-08-26,3.0
2017-08-27,2.0
2017-08-28,2.5
2017-08-29,3.0
2017-08-30,2.0
2017-08-31,4.0
2017-09-01,3.0
2017-09-02,3.0
2017-09-03,4.0
2017-09-04,3.0
2017-09-05,4.0
2017-09-06,4.0
2017-09-07,5.0
2017-09-08,3.0
2017-09-09,5.0
2017-09-10,3.5
2017-09-11,3.0
2017-09-12,2.0
2017-09-13,2.5
2017-09-14,2.0
2017-09-15,3.0
2017-09-16,2.5
2017-09-17,6.0
2017-09-18,2.0
2017-09-19,3.0
2017-09-20,5.0
2017-09-21,5.5
2017-09-22,4.0
2017-09-23,5.0
2017-09-24,5.0
2017-09-25,4.0
2017-09-26,2.0
2017-09-27,1.5
2017-09-28,4.0
2017-09-29,3.0
2017-09-30,1.0
2017-10-01,3.0
2017-10-02,2.0
2017-10-03,2.0
2017-10-04,2.5
2017-10-05,2.0
2017-10-06,4.0
2017-10-07,3.0
2017-10-08,6.0
2017-10-09,3.0
2017-10-10,3.5
2017-10-11,2.0
2017-10-12,4.5
2017-10-13,3.5
2017-10-14,4.0
2017-10-15,5.0
2017-10-16,5.0
2017-10-17,3.0
2017-10-18,2.0
2017-10-19,4.5
2017-10-20,5.5
2017-10-21,3.0
2017-10-22,8.5
2017-10-23,
2017-10-24,4.0
2017-10-25,2.0
2017-10-26,3.0
2017-10-27,6.0
2017-10-28,4.0
2017-10-29,9.0
2017-10-30,5.0
2017-10-31,6.0
2017-11-01,3.0
2017-11-02,5.0
2017-11-03,2.0
2017-11-04,7.0
2017-11-05,2.0
2017-11-06,7.0
2017-11-07,3.0
2017-11-08,4.0
2017-11-09,4.0
2017-11-10,4.0
2017-11-11,5.0
2017-11-12,2.0
2017-11-13,3.0
2017-11-14,3.0
2017-11-15,5.0
2017-11-16,1.0
2017-11-17,2.0
2017-11-18,1.0
2017-11-19,8.5
2017-11-20,3.0
2017-11-21,4.0
2017-11-22,5.5
2017-11-23,2.0
2017-11-24,5.0
2017-11-25,3.0
2017-11-26,6.0
2017-11-27,3.0
2017-11-28,2.0
2017-11-29,5.0
2017-11-30,5.0
2017-12-01,3.0
2017-12-02,6.0
2017-12-03,3.0
2017-12-04,3.0
2017-12-05,5.5
2017-12-06,4.0
2017-12-07,5.0
2017-12-08,4.0
2017-12-09,2.0
2017-12-10,4.0
2017-12-11,4.0
2017-12-12,5.0
2017-12-13,9.0
2017-12-14,11.0
2017-12-15,4.0
2017-12-16,8.0
2017-12-17,2.0
2017-12-18,5.5
2017-12-19,2.0
2017-12-20,8.0
2017-12-21,3.5
2017-12-22,4.0
2017-12-23,2.0
2017-12-24,3.0
2017-12-25,4.0
2017-12-26,3.5
2017-12-27,3.0
2017-12-28,3.0
2017-12-29,3.0
2017-12-30,2.0
2017-12-31,1.0
2018-01-01,4.0
